Experiment,Accuracy,Precision,Recall,F1
LR (ISOT→ISOT),0.9894580549368968,0.9869767441860465,0.9909713574097135,0.9889700170887059
LR (ISOT→LIAR),0.3717442778216259,0.6666666666666666,0.02481389578163772,0.04784688995215311
LR (LIAR→ISOT),0.4797327394209354,0.4777235276167226,0.9747820672478207,0.6412041777595741
LR (LIAR→LIAR),0.6408839779005525,0.6557231588287489,0.9168734491315137,0.7646145887221936
SVM (ISOT→ISOT),0.9948032665181886,0.995631825273011,0.9934620174346201,0.9945457378837462
SVM (ISOT→LIAR),0.3701657458563536,0.6428571428571429,0.022332506203473945,0.04316546762589928
SVM (LIAR→ISOT),0.4941351150705271,0.4835720303285594,0.8935242839352429,0.6275281513064394
SVM (LIAR→LIAR),0.6045777426992897,0.6648648648648648,0.7630272952853598,0.7105719237435009
