Family,Model,TrainDomain,F1_InDomain,F1_CrossDomain,F1_Drop
ML,LR,ISOT,0.988970017088706,0.0478468899521531,0.9411231271365529
ML,LR,LIAR,0.7646145887221936,0.6412041777595741,0.12341041096261951
ML,SVM,ISOT,0.9945457378837462,0.0431654676258992,0.951380270257847
ML,SVM,LIAR,0.7105719237435009,0.6275281513064394,0.08304377243706151
Transformer,bert-base-uncased,ISOT,1.0,0.0,1.0
Transformer,bert-base-uncased,LIAR,0.7774022211492033,0.6674082313681868,0.10999398978101649
Transformer,roberta-base,ISOT,1.0,0.0049321824907521,0.9950678175092479
Transformer,roberta-base,LIAR,0.7777777777777777,0.6666666666666666,0.11111111111111105
