Scenario,Best_ML_F1,Best_Transformer_F1,F1_Improvement
Train ISOT → Test ISOT (In-domain),0.9945457378837462,1.0,0.005454262116253772
Train ISOT → Test LIAR (Cross-domain),0.0478468899521531,0.0049321824907521,-0.042914707461401004
Train LIAR → Test ISOT (Cross-domain),0.6412041777595741,0.6674082313681868,0.026204053608612776
Train LIAR → Test LIAR (In-domain),0.7646145887221936,0.7777777777777777,0.013163189055584112
